duration,src_bytes,dst_bytes,error_rate,conn_count,packet_size,label
5.5434,342.0,631.2,0.0637,1.0,416.8,0
0.1701,15.2,21.0,0.8462,20.0,70.3,1
0.1773,12.9,34.6,0.7532,20.0,49.6,1
0.9004,501.4,314.2,0.0608,3.0,309.8,0
1.9066,532.7,499.3,0.0633,3.0,404.5,0
0.2362,22.1,39.2,0.2858,58.0,61.9,1
1.6134,257.8,240.6,0.2847,21.21939727278163,180.1,1
2.2546,276.8,519.7,0.192,2.0,319.6,0
0.0939,72.3,54.4,0.2932,39.0,33.4,1
1.2218,470.6,464.4,0.0686,2.0,331.2,0
0.4572,529.9,396.1,0.1667,2.0,262.6,0
0.9208,320.7,492.9,0.0301,6.0,369.2,0
3.949,447.8,481.8,0.0818,2.0,347.3,0
1.8525,746.3,433.8,0.0537,4.0,317.1,0
3.1369,449.0,48.7,0.0582,3.0,311.2,0
2.1094,283.0,290.2,0.2695,16.070657567518378,255.1,0
0.483,73.1,61.9,0.2255,41.0,115.2,1
2.7609,301.8,453.4,0.0211,2.0,346.9,0
2.6423,531.4,325.9,0.0346,3.0,468.3,0
0.2212,462.7,415.7,0.0524,2.0,419.8,0
0.5123,392.8,491.7,0.1505,3.0,340.3,0
1.7666,540.1,608.2,0.0193,5.0,306.4,0
3.3184,390.2,449.8,0.0413,6.0,373.7,0
0.0275,42.2,59.6,0.0343,49.0,106.4,1
4.7727,529.0,236.9,0.0997,3.0,370.4,0
0.6067,400.9,330.8,0.1384,1.0,272.4,0
1.9888,714.2,335.0,0.1062,2.0,331.2,0
2.1588,446.9,477.4,0.0556,3.0,406.2,0
0.6763,564.6,444.9,0.0841,4.0,401.8,0
3.6587,584.2,438.3,0.0296,4.0,304.0,0
0.3842,130.4,58.7,0.1532,58.0,84.9,1
4.5239,229.8,322.1,0.0238,1.0,356.4,0
4.5957,212.7,562.8,0.0479,3.0,352.7,0
0.9554,465.7,565.4,0.1338,5.0,331.6,0
0.7385,63.2,21.1,0.2393,41.0,130.6,1
1.5169,491.8,621.8,0.0304,3.0,382.2,0
1.6967,350.7,480.1,0.0592,1.0,383.4,0
2.8286,524.4,435.5,0.0457,2.0,396.8,0
1.3685,187.8,224.3,0.3039,20.2848268572991,196.4,0
0.0253,25.9,17.6,0.696,21.0,59.4,1
11.2305,210.5,262.6,0.0108,3.0,271.9,0
1.4343,561.8,342.0,0.1474,5.0,312.8,0
0.0473,28.2,3.6,0.7009,20.0,62.9,1
2.6301,393.5,441.2,0.0621,4.0,359.2,0
1.9856,286.0,409.9,0.1105,1.0,236.9,0
3.3914,210.9,198.8,0.305,20.495643311849552,205.4,0
2.9782,392.0,408.2,0.0375,1.0,338.6,0
0.5493,63.4,12.4,0.1426,44.0,75.2,1
5.1845,693.3,556.6,0.0066,6.0,510.3,0
0.2425,28.2,4.4,0.7163,17.0,85.2,1
0.1891,37.4,3.5,0.8237,20.0,91.9,1
1.1862,318.1,146.4,0.297,20.68029088431295,160.0,0
3.6935,556.5,329.7,0.0175,4.0,300.7,0
2.2126,436.0,481.8,0.2023,1.0,355.2,0
5.1778,389.5,455.7,0.0274,1.0,396.7,0
0.2815,61.6,42.0,0.5197,46.0,80.1,1
0.4493,506.1,322.2,0.1116,2.0,372.2,0
2.0197,377.3,498.8,0.0592,5.0,268.5,0
0.9803,328.4,231.5,0.2068,14.976689555085935,208.5,0
1.185,693.3,358.4,0.0695,7.0,337.6,0
6.5857,614.2,502.5,0.2,5.0,329.8,0
4.5567,579.5,473.9,0.1954,4.0,310.0,0
1.4545,543.6,413.0,0.0462,2.0,400.1,0
1.1528,186.4,164.0,0.2897,14.610201213343236,165.9,1
2.3973,718.6,549.9,0.0421,1.0,308.1,0
7.5438,375.9,480.7,0.1786,3.0,360.6,0
2.2251,384.4,696.7,0.0323,4.0,320.6,0
2.9786,406.1,600.8,0.0282,2.0,369.8,0
2.9707,354.1,335.4,0.077,2.0,316.6,0
0.0437,14.7,12.5,0.6853,24.0,77.4,1
8.5009,511.9,450.3,0.0369,4.0,388.9,0
1.6524,346.3,480.6,0.0274,3.0,382.8,0
1.7857,591.6,302.4,0.1945,1.0,352.4,0
2.2858,446.2,506.2,0.1206,2.0,385.5,0
0.5965,464.7,642.9,0.0331,1.0,364.3,0
1.5969,83.6,13.7,0.0998,44.0,143.4,1
3.2842,477.0,548.4,0.0378,2.0,424.3,0
2.0911,450.6,586.9,0.0671,2.0,279.2,0
1.8124,457.9,294.1,0.0142,2.0,410.5,0
1.7834,279.2,258.7,0.3564,10.91206588651624,221.9,1
0.1084,25.1,2.8,0.8369,23.0,65.0,1
2.3163,367.6,381.6,0.1241,3.0,435.6,0
4.5736,192.2,458.3,0.0307,2.0,415.8,0
0.2515,301.7,241.1,0.2935,16.735436489779502,242.7,0
0.4299,40.1,42.0,0.355,44.0,107.7,1
2.9507,660.3,414.1,0.0412,1.0,365.3,0
0.1272,10.9,24.6,0.9336,16.0,5.0,1
5.2456,540.9,218.1,0.033,2.0,347.9,0
1.9486,510.0,210.2,0.1099,3.0,326.2,0
1.2864,533.9,295.5,0.0054,3.0,383.2,0
0.4095,28.9,2.1,0.6125,18.0,84.3,1
1.2192,554.3,493.0,0.0736,2.0,289.0,0
1.8657,246.3,364.7,0.2162,17.05339945986979,168.8,0
3.1027,297.6,357.0,0.0331,3.0,357.9,0
0.0868,11.5,29.3,0.7707,18.0,34.0,1
0.1832,13.8,12.5,0.604,27.0,39.0,1
2.1511,305.6,464.4,0.1071,4.0,381.0,0
3.9009,636.3,337.7,0.0332,8.0,359.9,0
0.0483,12.8,16.7,0.8177,22.0,83.2,1
3.4993,498.5,517.8,0.081,3.0,454.6,0
2.9771,519.7,457.7,0.0913,2.0,378.0,0
2.6976,501.4,391.9,0.0592,2.0,395.8,0
0.1087,12.9,16.8,0.8132,19.0,72.4,1
0.1761,28.0,15.1,0.6806,12.0,51.3,1
0.8487,576.5,436.5,0.046,2.0,396.9,0
1.2944,538.3,577.3,0.0769,4.0,250.3,0
1.0581,449.2,451.5,0.0814,1.0,383.3,0
3.1623,451.4,405.1,0.0173,2.0,324.9,0
4.2332,312.1,253.5,0.0208,4.0,318.7,0
1.8949,143.9,308.1,0.2816,16.93832063835517,239.4,0
4.7261,447.1,474.8,0.0915,4.0,306.6,0
0.3611,80.6,31.6,0.1002,51.0,102.6,1
